timestamp,roll,pitch,yaw,date
17472000,-0.012136045,-0.013669597,-1.7703862,1970-01-01 00:00:17.472000
17524000,-0.012083623,-0.015223092,-1.7678263,1970-01-01 00:00:17.524000
17572000,-0.015446827,-0.01462537,-1.7668796,1970-01-01 00:00:17.572000
17624000,-0.015471343,-0.013357742,-1.7682052,1970-01-01 00:00:17.624000
17680000,-0.014822188,-0.014837944,-1.7665378,1970-01-01 00:00:17.680000
17728000,-0.018289888,-0.014182191,-1.7671905,1970-01-01 00:00:17.728000
17780000,-0.016105046,-0.014043937,-1.7662033,1970-01-01 00:00:17.780000
17832000,-0.017208457,-0.015761845,-1.7653863,1970-01-01 00:00:17.832000
17888000,-0.019274011,-0.014532669,-1.766244,1970-01-01 00:00:17.888000
17940000,-0.016959772,-0.015545115,-1.764857,1970-01-01 00:00:17.940000
17992000,-0.02038018,-0.016593829,-1.7649437,1970-01-01 00:00:17.992000
18040000,-0.019355169,-0.015680399,-1.7654241,1970-01-01 00:00:18.400000
18096000,-0.019813586,-0.01822113,-1.7648249,1970-01-01 00:00:18.960000
18148000,-0.023272296,-0.017415594,-1.765581,1970-01-01 00:00:18.148000
18200000,-0.019669322,-0.018123427,-1.7645429,1970-01-01 00:00:18.200000
18252000,-0.0232363,-0.019672628,-1.7647146,1970-01-01 00:00:18.252000
18304000,-0.022273008,-0.017813146,-1.7657607,1970-01-01 00:00:18.304000
18356000,-0.021182282,-0.020507032,-1.7649722,1970-01-01 00:00:18.356000
18404000,-0.024586238,-0.01866458,-1.7648283,1970-01-01 00:00:18.404000
18456000,-0.021428164,-0.019449877,-1.7687477,1970-01-01 00:00:18.456000
18512000,-0.023710357,-0.021081744,-1.7688261,1970-01-01 00:00:18.512000
18560000,-0.02318909,-0.018910708,-1.7692977,1970-01-01 00:00:18.560000
18616000,-0.021552857,-0.021685258,-1.7689215,1970-01-01 00:00:18.616000
18664000,-0.025350263,-0.020385934,-1.7691852,1970-01-01 00:00:18.664000
18716000,-0.021493167,-0.020687558,-1.769159,1970-01-01 00:00:18.716000
18772000,-0.023907335,-0.022589026,-1.7695966,1970-01-01 00:00:18.772000
18824000,-0.024467165,-0.019944642,-1.7695704,1970-01-01 00:00:18.824000
18872000,-0.022188317,-0.022586633,-1.7683903,1970-01-01 00:00:18.872000
18928000,-0.026288912,-0.021218961,-1.7688361,1970-01-01 00:00:18.928000
18980000,-0.022215242,-0.020203559,-1.769313,1970-01-01 00:00:18.980000
19032000,-0.023502922,-0.022343446,-1.7684618,1970-01-01 00:00:19.320000
19080000,-0.023142591,-0.01958764,-1.7678368,1970-01-01 00:00:19.800000
19132000,-0.019925054,-0.021890422,-1.7667003,1970-01-01 00:00:19.132000
19184000,-0.023715932,-0.020991486,-1.7663299,1970-01-01 00:00:19.184000
19236000,-0.018409666,-0.020208089,-1.766574,1970-01-01 00:00:19.236000
19288000,-0.021051746,-0.022824315,-1.7650163,1970-01-01 00:00:19.288000
19344000,-0.021979714,-0.020392133,-1.7653499,1970-01-01 00:00:19.344000
19396000,-0.01827441,-0.022608439,-1.7653372,1970-01-01 00:00:19.396000
19448000,-0.022929383,-0.02321314,-1.7645478,1970-01-01 00:00:19.448000
19500000,-0.01944584,-0.021673344,-1.7652727,1970-01-01 00:00:19.500000
19552000,-0.02128524,-0.025382753,-1.7652345,1970-01-01 00:00:19.552000
19600000,-0.022616986,-0.022905612,-1.7651237,1970-01-01 00:00:19.600000
19656000,-0.020224746,-0.024706852,-1.7658243,1970-01-01 00:00:19.656000
19708000,-0.022618132,-0.025276074,-1.7647065,1970-01-01 00:00:19.708000
19760000,-0.01973943,-0.022117522,-1.7660755,1970-01-01 00:00:19.760000
19808000,-0.020988297,-0.024525363,-1.7657936,1970-01-01 00:00:19.808000
19860000,-0.021628568,-0.02201262,-1.7655725,1970-01-01 00:00:19.860000
19916000,-0.01875146,-0.023577191,-1.766376,1970-01-01 00:00:19.916000
19964000,-0.023267234,-0.024384465,-1.7656546,1970-01-01 00:00:19.964000
20020000,-0.020609627,-0.022785792,-1.7667211,1970-01-01 00:00:20.200000
20068000,-0.020280167,-0.02553702,-1.7658532,1970-01-01 00:00:20.680000
20124000,-0.022646498,-0.022782382,-1.7654437,1970-01-01 00:00:20.124000
20176000,-0.017622279,-0.022645807,-1.7664806,1970-01-01 00:00:20.176000
20224000,-0.023091279,-0.023289064,-1.7656757,1970-01-01 00:00:20.224000
20280000,-0.021965506,-0.020561492,-1.7661415,1970-01-01 00:00:20.280000
20328000,-0.02037457,-0.022761285,-1.765314,1970-01-01 00:00:20.328000
20380000,-0.021438194,-0.019238252,-1.7656041,1970-01-01 00:00:20.380000
20432000,-0.016175793,-0.019586328,-1.7667649,1970-01-01 00:00:20.432000
20484000,-0.018472724,-0.019719874,-1.7655729,1970-01-01 00:00:20.484000
20536000,-0.0145222405,-0.017571803,-1.7657439,1970-01-01 00:00:20.536000
20588000,-0.013962227,-0.019664153,-1.7660168,1970-01-01 00:00:20.588000
20644000,-0.017737241,-0.018026643,-1.7656991,1970-01-01 00:00:20.644000
20696000,-0.014433871,-0.017659038,-1.766163,1970-01-01 00:00:20.696000
20744000,-0.018578662,-0.0192711,-1.7650609,1970-01-01 00:00:20.744000
20796000,-0.01879151,-0.017029602,-1.7664164,1970-01-01 00:00:20.796000
20848000,-0.019267945,-0.019910395,-1.7664661,1970-01-01 00:00:20.848000
20900000,-0.023654234,-0.018097024,-1.7654867,1970-01-01 00:00:20.900000
20956000,-0.021026986,-0.018029774,-1.7666163,1970-01-01 00:00:20.956000
21008000,-0.023120122,-0.019639175,-1.7654303,1970-01-01 00:00:21.800000
21060000,-0.023319254,-0.017217169,-1.7657888,1970-01-01 00:00:21.600000
21112000,-0.02078229,-0.019275548,-1.7670671,1970-01-01 00:00:21.112000
21160000,-0.02346989,-0.017827135,-1.7652543,1970-01-01 00:00:21.160000
21212000,-0.019696597,-0.01788128,-1.7662411,1970-01-01 00:00:21.212000
21264000,-0.021385511,-0.018744206,-1.7662929,1970-01-01 00:00:21.264000
21320000,-0.02123519,-0.01633198,-1.7660888,1970-01-01 00:00:21.320000
21368000,-0.018815378,-0.017800186,-1.7661592,1970-01-01 00:00:21.368000
21424000,-0.02139495,-0.016909204,-1.765968,1970-01-01 00:00:21.424000
21472000,-0.018856073,-0.01600399,-1.7667547,1970-01-01 00:00:21.472000
21524000,-0.019752866,-0.01747692,-1.7660388,1970-01-01 00:00:21.524000
21576000,-0.01939925,-0.0153951105,-1.7657534,1970-01-01 00:00:21.576000
21628000,-0.017742675,-0.016956037,-1.7667835,1970-01-01 00:00:21.628000
21680000,-0.020200826,-0.016547428,-1.7647054,1970-01-01 00:00:21.680000
21732000,-0.018328922,-0.016142827,-1.7668911,1970-01-01 00:00:21.732000
21788000,-0.018137628,-0.017888542,-1.7661242,1970-01-01 00:00:21.788000
21840000,-0.018831033,-0.016390314,-1.7660234,1970-01-01 00:00:21.840000
21888000,-0.016059695,-0.01733537,-1.7662996,1970-01-01 00:00:21.888000
21940000,-0.016702823,-0.01714195,-1.764938,1970-01-01 00:00:21.940000
21992000,-0.014442287,-0.016457034,-1.7660123,1970-01-01 00:00:21.992000
22048000,-0.013496054,-0.017583804,-1.7664176,1970-01-01 00:00:22.480000
22096000,-0.012930981,-0.01623762,-1.7655053,1970-01-01 00:00:22.960000
