timestamp,x,y,z,date
89464000,0.20123576,-0.20363115,0.3798486,1970-01-01 00:01:29.464000
90472000,0.14344892,-0.20450313,0.41101316,1970-01-01 00:01:30.472000
91480000,0.090329744,-0.21507245,0.4228803,1970-01-01 00:01:31.480000
92476000,0.03532172,-0.21569471,0.4284019,1970-01-01 00:01:32.476000
93472000,0.011848123,-0.215527,0.42801392,1970-01-01 00:01:33.472000
94480000,-0.007861789,-0.21596435,0.41381517,1970-01-01 00:01:34.480000
95476000,0.00041270908,-0.22272713,0.42553437,1970-01-01 00:01:35.476000
96472000,-0.003554698,-0.22146177,0.43060282,1970-01-01 00:01:36.472000
97472000,-0.00036158133,-0.2075352,0.4265793,1970-01-01 00:01:37.472000
98476000,-0.01286237,-0.21277376,0.42503598,1970-01-01 00:01:38.476000
99472000,-0.00043987148,-0.21859811,0.4203584,1970-01-01 00:01:39.472000
100468000,-0.005116883,-0.20918001,0.42631853,1970-01-01 00:01:40.468000
101476000,-0.0072418684,-0.22708762,0.43489966,1970-01-01 00:01:41.476000
102476000,-0.0012194179,-0.21617448,0.43208152,1970-01-01 00:01:42.476000
103480000,-0.0025612798,-0.20826106,0.42424846,1970-01-01 00:01:43.480000
104480000,-0.0037697905,-0.2194002,0.42706856,1970-01-01 00:01:44.480000
105472000,0.0034220556,-0.22275922,0.42036033,1970-01-01 00:01:45.472000
106480000,-0.005911695,-0.21489146,0.43047726,1970-01-01 00:01:46.480000
107476000,-0.005979354,-0.21016371,0.43391874,1970-01-01 00:01:47.476000
108484000,-0.005021945,-0.21569066,0.4290063,1970-01-01 00:01:48.484000
109480000,-0.007815605,-0.2156644,0.43094102,1970-01-01 00:01:49.480000
110476000,-0.0078037498,-0.21789335,0.43543243,1970-01-01 00:01:50.476000
111484000,-0.006402574,-0.21770161,0.42892516,1970-01-01 00:01:51.484000
112480000,-0.0042225784,-0.21436267,0.43499643,1970-01-01 00:01:52.480000
113476000,-0.0067033656,-0.21350688,0.43396035,1970-01-01 00:01:53.476000
114484000,-0.0021860588,-0.21410845,0.43282187,1970-01-01 00:01:54.484000
115484000,-0.0036082922,-0.21683778,0.43538308,1970-01-01 00:01:55.484000
116476000,-0.0016873655,-0.22062682,0.4323093,1970-01-01 00:01:56.476000
117472000,-0.005276024,-0.22015549,0.4317672,1970-01-01 00:01:57.472000
118480000,-0.0031833379,-0.20635974,0.4327843,1970-01-01 00:01:58.480000
119484000,-0.0068666968,-0.22261135,0.42802146,1970-01-01 00:01:59.484000
120484000,0.001969061,-0.20841682,0.4318937,1970-01-01 00:02:00.484000
121480000,-0.0039751437,-0.22086139,0.42477506,1970-01-01 00:02:01.480000
122476000,-0.001995224,-0.21340638,0.42766893,1970-01-01 00:02:02.476000
123472000,-0.005864356,-0.21787654,0.428343,1970-01-01 00:02:03.472000
124480000,0.0037732888,-0.21685702,0.43493348,1970-01-01 00:02:04.480000
125476000,-0.0036246537,-0.21669711,0.42748985,1970-01-01 00:02:05.476000
126483999,-0.0046777115,-0.21365657,0.42673388,1970-01-01 00:02:06.483999
127480000,-0.00057865074,-0.21417552,0.42576194,1970-01-01 00:02:07.480000
128488000,0.0006893784,-0.21880671,0.427433,1970-01-01 00:02:08.488000
129483999,0.00096147746,-0.21493503,0.4254922,1970-01-01 00:02:09.483999
130480000,-0.005159249,-0.21075991,0.43207973,1970-01-01 00:02:10.480000
131488000,-0.0008253918,-0.22277962,0.43102077,1970-01-01 00:02:11.488000
132484000,-0.0014972606,-0.20699567,0.42846403,1970-01-01 00:02:12.484000
133480000,-0.007178078,-0.20973717,0.43027323,1970-01-01 00:02:13.480000
134488000,-0.007805414,-0.21351384,0.4312677,1970-01-01 00:02:14.488000
135484000,-0.003030486,-0.21493274,0.43023455,1970-01-01 00:02:15.484000
136480000,-0.0034618394,-0.21538416,0.42959794,1970-01-01 00:02:16.480000
137488000,0.0028904218,-0.22072367,0.43465027,1970-01-01 00:02:17.488000
138484000,-0.003457069,-0.21799953,0.4315992,1970-01-01 00:02:18.484000
139480000,-0.003835474,-0.21890442,0.42982832,1970-01-01 00:02:19.480000
140488000,-0.0017890596,-0.21271586,0.43454996,1970-01-01 00:02:20.488000
141484000,0.0025424873,-0.20979522,0.4194885,1970-01-01 00:02:21.484000
142480000,-0.003882369,-0.21865858,0.42706528,1970-01-01 00:02:22.480000
143488000,-0.0027419403,-0.21402495,0.42230463,1970-01-01 00:02:23.488000
144484000,-0.010285307,-0.21373822,0.42597306,1970-01-01 00:02:24.484000
145480000,0.004581366,-0.22207403,0.4256637,1970-01-01 00:02:25.480000
146488000,-0.0061050947,-0.2103555,0.42794666,1970-01-01 00:02:26.488000
147484000,0.0040530986,-0.22449902,0.4268671,1970-01-01 00:02:27.484000
148480000,-0.0036239384,-0.21833894,0.43505007,1970-01-01 00:02:28.480000
149488000,0.0034317037,-0.21393481,0.43210012,1970-01-01 00:02:29.488000
150484000,0.0029327096,-0.21812041,0.4259922,1970-01-01 00:02:30.484000
151480000,-0.0040739714,-0.2128266,0.42707613,1970-01-01 00:02:31.480000
152488000,-0.0019946638,-0.21099903,0.42840055,1970-01-01 00:02:32.488000
153488000,0.0048667775,-0.21701269,0.42327788,1970-01-01 00:02:33.488000
154480000,-0.0012635379,-0.22095416,0.4220702,1970-01-01 00:02:34.480000
155488000,0.0016500215,-0.21638845,0.4260487,1970-01-01 00:02:35.488000
156484000,0.0032835964,-0.2152616,0.4279749,1970-01-01 00:02:36.484000
